GEOID,visits,prep,prep_idx,prep_w,device,max_wind,count_wind_21_33,max_rain,experienced_wind_33,experienced_rain_150,count_rain_70_150,max_rain,FIPS,PropertyDmgPerCapita,coastal_flag,coastal_flag_county,ida_ge_33
221210204011,110,p,1,0,241.0,34.3396729349809,4,70.10983280644751,2,1,1,70.10983280644751,22121,0.36837128,0,0,1
220710009042,4,p,1,0,21.0,30.3012749010635,5,90.95286716641506,1,1,5,90.95286716641506,22071,0.06577263,1,1,1
220119602002,76,p,1,0,135.0,42.2894684971225,3,181.23333740234375,2,2,2,181.23333740234375,22011,30.17836803,0,0,0
220119606002,20,p,1,0,81.0,52.2268404232333,2,211.9166717529297,2,2,0,211.9166717529297,22011,30.17836803,0,0,0
220119606001,46,p,1,0,55.0,51.379766761464,2,215.8000030517578,2,2,1,215.8000030517578,22011,30.17836803,0,0,0
220119603004,30,p,1,0,58.0,38.3785479570951,3,168.04714671029794,2,2,2,168.04714671029794,22011,30.17836803,0,0,0
220119601001,48,p,1,0,146.0,42.5890393169711,4,275.4750061035156,2,2,1,275.4750061035156,22011,30.17836803,0,0,0
220119607003,142,p,1,0,277.0,52.1562976266972,2,251.260009765625,2,2,2,251.260009765625,22011,30.17836803,0,0,0
220119602003,38,p,1,0,84.0,39.937713889936,2,151.64999389648438,2,2,3,151.64999389648438,22011,30.17836803,0,0,0
220119602001,90,p,1,0,204.0,53.7573189519287,3,162.8583221435547,2,2,1,162.8583221435547,22011,30.17836803,0,0,0
220710017011,16,p,1,0,31.0,30.7291887969433,5,99.57227391275322,1,1,4,99.57227391275322,22071,0.06577263,1,1,0
221179506003,45,p,1,0,95.0,29.8162970081845,4,103.54000091552734,1,1,4,103.54000091552734,22117,0.0022141099999999,0,0,0
220710017022,24,p,1,0,45.0,30.2909247030382,5,98.53253089603578,1,1,4,98.53253089603578,22071,0.06577263,1,1,1
220550019041,100,p,1,0,156.0,38.0775469459652,3,150.37899677618685,2,2,2,150.37899677618685,22055,1.5760870500000002,0,0,1
220550019011,151,p,1,0,188.0,39.1249791699504,3,142.10000610351562,2,1,2,142.10000610351562,22055,1.5760870500000002,0,0,0
221179505001,85,p,1,0,124.0,30.164241263638,4,118.5749969482422,1,1,2,118.5749969482422,22117,0.0022141099999999,0,0,0
221179502004,106,p,1,0,188.0,32.8073959073946,4,103.53333282470705,1,1,1,103.53333282470705,22117,0.0022141099999999,0,0,0
221179502001,62,p,1,0,112.0,36.0857555348547,3,79.125,2,1,1,79.125,22117,0.0022141099999999,0,0,0
221179502002,70,p,1,0,128.0,35.4515403965784,3,82.16666412353516,2,1,1,82.16666412353516,22117,0.0022141099999999,0,0,0
221179503002,82,p,1,0,134.0,36.2448499158793,3,105.29999542236328,2,1,1,105.29999542236328,22117,0.0022141099999999,0,0,0
221179505002,116,p,1,0,158.0,38.2232574197976,3,123.72538189002258,2,1,1,123.72538189002258,22117,0.0022141099999999,0,0,0
221179508003,40,p,1,0,80.0,29.9098445671217,4,120.3000030517578,1,1,4,120.3000030517578,22117,0.0022141099999999,0,0,0
221179503001,27,p,1,0,56.0,35.0336107629708,3,90.66666412353516,2,1,1,90.66666412353516,22117,0.0022141099999999,0,0,0
221179506001,52,p,1,0,88.0,30.3580215857056,4,89.46666717529297,1,1,3,89.46666717529297,22117,0.0022141099999999,0,0,0
221179510002,22,p,1,0,59.0,30.0309342487903,4,111.3000030517578,1,1,4,111.3000030517578,22117,0.0022141099999999,0,0,0
221179507003,34,p,1,0,82.0,29.7572076962518,4,97.5999984741211,1,1,3,97.5999984741211,22117,0.0022141099999999,0,0,0
221179504002,44,p,1,0,87.0,34.9177779709862,2,72.75999450683594,2,1,1,72.75999450683594,22117,0.0022141099999999,0,0,0
221179504001,35,p,1,0,54.0,35.1422633512602,2,83.25,2,1,1,83.25,22117,0.0022141099999999,0,0,0
221159508001,35,p,1,0,59.0,41.9911854923417,4,339.05999755859375,2,2,1,339.05999755859375,22115,19.00196373,0,0,0
221010411002,32,p,1,0,79.0,32.6195758178516,5,103.28484344482422,1,1,3,103.28484344482422,22101,0.68496657,1,1,1
221010403002,70,p,1,0,78.0,37.1333304926321,4,62.69152710167795,2,1,0,62.69152710167795,22101,0.68496657,1,1,1
221010409002,47,p,1,0,89.0,38.7444824100675,3,91.95066833496094,2,1,2,91.95066833496094,22101,0.68496657,1,1,1
220570217002,53,p,1,0,93.0,33.3472958332063,3,133.8233922772679,2,1,3,133.8233922772679,22057,0.52554993,1,1,1
221159505002,8,p,1,0,28.0,40.6880811086078,2,145.82915165399618,2,1,4,145.82915165399618,22115,19.00196373,0,0,0
221059541011,92,p,1,0,273.0,36.8236899710063,3,129.8400786330603,2,1,2,129.8400786330603,22105,0.00826522,0,1,1
221059542002,45,p,1,0,126.0,36.914110064536,3,105.12042791113184,2,1,1,105.12042791113184,22105,0.00826522,0,1,1
221059543001,32,p,1,0,79.0,37.5154218711141,3,95.33720243145596,2,1,2,95.33720243145596,22105,0.00826522,0,1,1
221059543002,51,p,1,0,119.0,37.5842951922107,3,106.43227785664544,2,1,2,106.43227785664544,22105,0.00826522,0,1,1
221059543003,32,p,1,0,54.0,37.4571945838039,3,101.33305776234636,2,1,2,101.33305776234636,22105,0.00826522,0,1,1
221059544003,52,p,1,0,113.0,37.2544333577255,3,96.94633902298465,2,1,1,96.94633902298465,22105,0.00826522,0,1,1
221059544001,12,p,1,0,71.0,37.7951337262334,3,96.33542910889238,2,1,1,96.33542910889238,22105,0.00826522,0,1,1
221059545021,64,p,1,0,145.0,37.5775085338143,3,97.4538311403118,2,1,1,97.4538311403118,22105,0.00826522,0,1,1
221159506002,20,p,1,0,97.0,36.5332122738387,2,169.81153391909427,2,2,1,169.81153391909427,22115,19.00196373,0,0,0
220190020001,75,p,1,0,118.0,52.8780246911834,2,326.6000061035156,2,2,0,326.6000061035156,22019,32.47305225,0,1,0
220190016004,76,p,1,0,114.0,52.3193634451979,2,314.8661206425823,2,2,1,314.8661206425823,22019,32.47305225,0,1,0
220190003002,8,p,1,0,37.0,52.3241862757279,2,269.74089608558717,2,2,1,269.74089608558717,22019,32.47305225,0,1,0
220690005004,31,p,1,0,63.0,31.3800544623997,4,133.70159831921245,1,1,3,133.70159831921245,22069,0.0,0,0,0
220690007001,16,p,1,0,43.0,31.929369627476,4,146.1930177112963,1,1,3,146.1930177112963,22069,0.0,0,0,0
220690006004,165,p,1,0,271.0,29.7103391889357,4,138.3000030517578,1,1,3,138.3000030517578,22069,0.0,0,0,0
220510256001,23,p,1,0,99.0,30.1291385829941,5,91.65143573528267,1,1,5,91.65143573528267,22051,0.05823747,1,1,1
220510260003,16,p,1,0,56.0,30.0303514985735,5,93.0999984741211,1,1,6,93.0999984741211,22051,0.05823747,1,1,1
220510263001,16,p,1,0,83.0,29.9814200747891,5,90.58797301471068,1,1,6,90.58797301471068,22051,0.05823747,1,1,1
220510279023,22,p,1,0,145.0,39.1878559233351,4,86.0,2,1,4,86.0,22051,0.05823747,1,1,1
220930405001,4,p,1,0,28.0,42.8447270142194,3,113.05714416503906,2,1,2,113.05714416503906,22093,0.29947926,1,1,1
221210202001,67,p,1,0,122.0,33.4070522397486,4,85.0999984741211,2,1,1,85.0999984741211,22121,0.36837128,0,0,1
221210201001,24,p,1,0,28.0,33.7317006867591,4,77.5018027077855,2,1,1,77.5018027077855,22121,0.36837128,0,0,1
221210201004,23,p,1,0,54.0,33.9065524987546,4,70.59862836156314,2,1,1,70.59862836156314,22121,0.36837128,0,0,1
221210203002,100,p,1,0,133.0,33.5609232208717,4,77.19999694824219,2,1,1,77.19999694824219,22121,0.36837128,0,0,1
220510275022,4,p,1,0,44.0,28.9085293034756,5,124.33641540889934,1,1,3,124.33641540889934,22051,0.05823747,1,1,1
220510245001,16,p,1,0,71.0,29.5590033792564,5,102.77828476959176,1,1,3,102.77828476959176,22051,0.05823747,1,1,1
220510251032,41,p,1,0,104.0,30.2579085852593,5,93.23210789478,1,1,3,93.23210789478,22051,0.05823747,1,1,1
220510251042,24,p,1,0,73.0,30.2697014817193,5,95.04506052995404,1,1,3,95.04506052995404,22051,0.05823747,1,1,1
220510252012,13,p,1,0,113.0,30.2138015140442,5,88.29193230290117,1,1,5,88.29193230290117,22051,0.05823747,1,1,1
220510255002,13,p,1,0,66.0,30.1355815842744,5,90.4894927475196,1,1,5,90.4894927475196,22051,0.05823747,1,1,1
220510205122,20,p,1,0,105.0,29.0827984106589,5,125.4702725997778,1,1,3,125.4702725997778,22051,0.05823747,1,1,1
220850007003,48,p,1,0,67.0,43.4809660048621,3,168.1199951171875,2,2,2,168.1199951171875,22085,0.0,0,0,0
220850001002,83,p,1,0,103.0,41.4489914843731,3,184.3933258056641,2,2,1,184.3933258056641,22085,0.0,0,0,0
220850007001,69,p,1,0,178.0,42.2493965159433,3,158.59999084472656,2,2,2,158.59999084472656,22085,0.0,0,0,0
220510247002,8,p,1,0,20.0,29.6501264210646,5,102.93222351859109,1,1,4,102.93222351859109,22051,0.05823747,1,1,1
220510239032,48,p,1,0,136.0,29.2409214288909,5,108.3000030517578,1,1,1,108.3000030517578,22051,0.05823747,1,1,1
220510275012,58,p,1,0,174.0,29.08134792643,5,115.3000030517578,1,1,4,115.3000030517578,22051,0.05823747,1,1,1
220090305001,118,p,1,0,169.0,32.4751005074156,3,139.5,1,1,2,139.5,22009,1.52021072,0,0,0
220090303002,99,p,1,0,146.0,31.0873018778859,3,131.5,1,1,2,131.5,22009,1.52021072,0,0,0
220510271001,10,p,1,0,77.0,29.6350128259874,5,96.12828550039536,1,1,5,96.12828550039536,22051,0.05823747,1,1,1
220510240022,4,p,1,0,72.0,29.2677690343745,5,107.53226094153943,1,1,4,107.53226094153943,22051,0.05823747,1,1,1
220510230031,18,p,1,0,63.0,29.4133563340251,5,102.11767495662862,1,1,1,102.11767495662862,22051,0.05823747,1,1,1
220550014051,120,p,1,0,182.0,36.0291540636243,3,159.73978524181047,2,2,2,159.73978524181047,22055,1.5760870500000002,0,0,1
220550014052,66,p,1,0,78.0,36.0197318356965,3,160.98229748616788,2,2,3,160.98229748616788,22055,1.5760870500000002,0,0,1
220710120002,8,p,1,0,48.0,29.7496262702251,5,125.9641924447862,1,1,4,125.9641924447862,22071,0.06577263,1,1,1
220550014053,134,p,1,0,238.0,36.0726097224169,3,156.79133318432372,2,2,2,156.79133318432372,22055,1.5760870500000002,0,0,1
220550014054,58,p,1,0,91.0,36.1836018519131,3,154.94962981045623,2,2,3,154.94962981045623,22055,1.5760870500000002,0,0,1
220550014061,203,p,1,0,330.0,35.9860030125018,3,161.5,2,2,2,161.5,22055,1.5760870500000002,0,0,1
220550014062,237,p,1,0,396.0,36.6530947927938,3,156.0770668001573,2,2,2,156.0770668001573,22055,1.5760870500000002,0,0,1
220550014044,290,p,1,0,356.0,36.3130540528646,3,154.75423397588267,2,2,3,154.75423397588267,22055,1.5760870500000002,0,0,1
220279505003,8,p,1,0,57.0,25.4532743020724,3,114.47272491455078,1,1,2,114.47272491455078,22027,0.0,0,0,0
220839703002,80,p,1,0,99.0,20.3387091916461,0,193.6066741943359,1,2,0,193.6066741943359,22083,0.01253687,0,0,0
